Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Category,Organizer,MatchStage,Date_clean,Date_Year,Result_clean,Goals1,Goals2,Goals_Team,Goals_Opponent,Decision,Play_Position_clean,Minute_clean
2022/2023,Saudi Pro League,21,18/03/2023,H,Al-Nassr FC,Abha Club,02:01,CF,78,01:01,Direct free kick,No assist,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-03-18,2023,02:01,2,1,2,1,Normal,CF,78
2022/2023,Saudi Pro League,22,04/04/2023,A,Al-Nassr FC,Al-Adalah FC,00:05,CF,40,00:01,Penalty,No assist,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-04-04,2023,00:05,0,5,5,0,Normal,CF,40
2022/2023,Saudi Pro League,23,05/04/2023,A,Al-Nassr FC,Al-Adalah FC,01:05,CF,66,00:03,Left-footed shot,Talisca,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-04-05,2023,01:05,1,5,5,1,Normal,CF,66
2022/2023,Saudi Pro League,24,28/04/2023,H,Al-Nassr FC,Al-Raed SFC,04:00,CF,4,01:00,Header,Sultan Al-Ghannam,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-04-28,2023,04:00,4,0,4,0,Normal,CF,4
2022/2023,Saudi Pro League,27,16/05/2023,A,Al-Nassr FC,Al-Tai FC,00:02,CF,52,00:01,Penalty,No assist,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-05-16,2023,00:02,0,2,2,0,Normal,CF,52
2022/2023,Saudi Pro League,28,23/05/2023,H,Al-Nassr FC,Al-Shabab FC,03:02,CF,59,03:02,Right-footed shot,Luiz Gustavo,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-05-23,2023,03:02,3,2,3,2,Normal,CF,59
2023/2024,Saudi Pro League,3,25/08/2023,A,Al-Nassr FC,Al-Fateh SC,00:05,CF,38,00:02,Header,Sultan Al-Ghannam,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-08-25,2023,00:05,0,5,5,0,Normal,CF,38
2023/2024,Saudi Pro League,3,25/08/2023,A,Al-Nassr FC,Al-Fateh SC,00:05,CF,55,00:03,Left-footed shot,Abdulrahman Ghareeb,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-08-25,2023,00:05,0,5,5,0,Normal,CF,55
2023/2024,Saudi Pro League,3,25/08/2023,A,Al-Nassr FC,Al-Fateh SC,00:05,CF,96,00:05,Left-footed shot,Nawaf Al-Boushal,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-08-25,2023,00:05,0,5,5,0,Normal,CF,96
2023/2024,Saudi Pro League,4,29/08/2023,H,Al-Nassr FC,Al-Shabab FC,04:00,CF,13,01:00,Penalty,No assist,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-08-29,2023,04:00,4,0,4,0,Normal,CF,13
2023/2024,Saudi Pro League,4,29/08/2023,H,Al-Nassr FC,Al-Shabab FC,04:00,CF,38,02:00,Penalty,No assist,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-08-29,2023,04:00,4,0,4,0,Normal,CF,38
2023/2024,Saudi Pro League,5,02/09/2023,A,Al-Nassr FC,Al-Hazem SC,01:05,CF,68,01:04,Right-footed shot,Abdulrahman Ghareeb,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-09-02,2023,01:05,1,5,5,1,Normal,CF,68
2023/2024,Saudi Pro League,6,16/09/2023,A,Al-Nassr FC,Al-Raed SFC,01:03,CF,78,00:03,Left-footed shot,Talisca,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-09-16,2023,01:03,1,3,3,1,Normal,CF,78
2023/2024,Saudi Pro League,7,22/09/2023,H,Al-Nassr FC,Al-Ahli SFC,04:03,CF,4,01:00,Left-footed shot,Sadio Mané,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-09-22,2023,04:03,4,3,4,3,Normal,CF,4
2023/2024,Saudi Pro League,7,22/09/2023,H,Al-Nassr FC,Al-Ahli SFC,04:03,CF,52,04:02,Left-footed shot,Talisca,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-09-22,2023,04:03,4,3,4,3,Normal,CF,52
2023/2024,Saudi Pro League,8,29/09/2023,A,Al-Nassr FC,Al-Tai FC,01:02,CF,87,01:02,Penalty,No assist,National Leagues,Saudi Arabian Football Federation (SAFF),Matchday,2023-09-29,2023,01:02,1,2,2,1,Normal,CF,87
