Organizer;Competition;Matchday;Group;Location;Date;Venue;House_Team;Opponent;Result;Position;Goals;Goals1;Goals2;Goals_Team;Goals_Opponent
UEFA;European Championship;;Grupo A;Portugal;2004-06-12;A;Portugal;Greece;01:02;LW;1;1;2;2;1
UEFA;European Championship;Semi-Finals;Meias-Finais;Portugal ;2004-06-30;H;Portugal;Netherlands;02:01;LW;1;2;1;2;1
FIFA;World Cup;Qualification;Grupo 3;Letónia;2004-09-04;A;Letónia;Portugal;00:02;RW;1;0;2;2;0
FIFA;World Cup;Qualification;Grupo 3;Portugal;2004-09-08;H;Portugal;Estonia;04:00;RW;1;4;0;4;0
FIFA;World Cup;Qualification;Grupo 3;Portugal ;2004-10-13;H;Portugal;Russia;07:01;LW;2;7;1;7;1
FIFA;World Cup;Qualification;Grupo 3;Luxemburgo;2004-11-17;A;Luxemburgo;Portugal;00:05;RW;1;0;5;5;0
FIFA;World Cup;Qualification;Grupo 3;Portugal ;2005-06-04;H;Portugal;Slovakia;02:00;LW;1;2;0;2;0
FIFA;World Cup;Qualification;Grupo 3;Estónia;2005-06-08;A;Estónia;Portugal;00:01;LW;1;0;1;1;0
FIFA;Friendly matches;;;Alemanha ;2006-03-01;H;Portugal;Saudi Arabia;03:00;LW;2;3;0;3;0
FIFA;World Cup;;Grupo D;Alemanha;2006-06-17;H;Portugal;Iran;02:00;LW;1;2;0;2;0
UEFA;European Championship;Qualification;Grupo A;Portugal;2006-10-07;H;Portugal;Azerbaijan;03:00;RW;2;3;0;3;0
UEFA;European Championship;Qualification;Grupo A;Portugal;2006-11-15;H;Portugal;Kazakhstan;03:00;RW;1;3;0;3;0
FIFA;World Cup;;;Gelsenkirchen;2006-06-20;A;Portugal;Mexico;02:01;RW;1;2;1;1;2
UEFA;European Championship;Qualification;Grupo A;Portugal ;2007-03-24;H;Portugal;Belgium;04:00;RW;2;4;0;4;0
UEFA;European Championship;Qualification;Grupo A;Arménia ;2007-08-22;A;Arménia;Portugal;01:01;RW;1;1;1;1;1
UEFA;European Championship;Qualification;Grupo A;Portugal ;2007-09-08;H;Portugal;Poland;02:02;RW;1;2;2;2;2
UEFA;European Championship;Qualification;Grupo A;Cazaquistão ;2007-10-17;A;Cazaquistão;Portugal;01:02;RW;1;1;2;2;1
UEFA;European Championship;;Grupo A;Suiça ;2008-06-11;A;Chéquia;Portugal;01:03;LW;1;1;3;3;1
FIFA;Friendly matches;;;Portugal ;2009-02-11;H;Portugal;Finland;01:00;RW;1;1;0;1;0
FIFA;World Cup;;Grupo G;África do Sul ;2010-06-21;H;Portugal;North Korea;07:00;LW;1;7;0;7;0
UEFA;European Championship;Qualification;Grupo H;Portugal ;2010-10-08;H;Portugal;Denmark;03:01;LW;1;3;1;3;1
UEFA;European Championship;Qualification;Grupo H;Islândia ;2010-10-12;A;Islândia;Portugal;01:03;LW;1;1;3;3;1
FIFA;Friendly matches;;;Suiça ;2011-02-09;H;Portugal;Argentina;01:02;LW;1;1;2;1;2
FIFA;Friendly matches;;;Portugal ;2011-08-10;H;Portugal;Luxembourg;05:00;RW;1;5;0;5;0
UEFA;European Championship;Qualification;Grupo H;Chipre ;2011-09-02;A;Chipre;Portugal;00:04;LW;2;0;4;4;0
UEFA;European Championship;Qualification;Grupo H;Dinamarca ;2011-10-11;A;Dinamarca;Portugal;02:01;LW;1;2;1;1;2
UEFA;Euro;Qualification;Play Off 2ª mão;Portugal ;2011-11-15;H;Portugal;Bosnia;06:02;LW;2;6;2;6;2
UEFA;European Championship;;Grupo B;Ucrânia ;2012-06-17;H;Portugal;Netherlands;02:01;LW;2;2;1;2;1
UEFA;European Championship;Quarter-finals;Quartos de final;Polónia ;2012-06-21;A;Chéquia;Portugal;00:01;LW;1;0;1;1;0
FIFA;World Cup;Qualification;Grupo F;Luxemburgo ;2012-09-07;A;Luxemburgo;Portugal;01:02;LW;1;1;2;2;1
FIFA;Friendly matches;;;Portugal ;2013-02-06;H;Portugal;Ecuador;02:03;LW;1;2;3;2;3
FIFA;Friendly matches;;;Suiça;2013-06-10;A;Croácia;Portugal;00:01;LW;1;0;1;1;0
FIFA;Friendly matches;;;Portugal ;2013-08-14;H;Portugal;Netherlands;01:01;LW;1;1;1;1;1
FIFA;World Cup;Qualification;Grupo F;Irlanda do Norte;2013-09-06;A;Irlanda Norte;Portugal;02:04;LW;3;2;4;4;2
